sampleName,Time(abs),boxTemperature,boxSetpoint,boxHumidity,percentageX,percentageY,percentageZ,pressureX,pressureY,pressureA,vacuum,fanSpeed,roomTemperature,roomHumidity,Time(rel)
air,3763429595,32.502,32.5,10.45,5.7,98.3,50.0,2.108,1.935,0.3,0.0001,63,22.63,16.21,5
air,3763429600,32.499,32.5,10.42,5.7,98.3,50.0,2.108,1.824,0.4,0.0001,62,22.62,16.23,10
air,3763429605,32.497,32.5,10.41,5.7,98.3,50.0,2.107,1.824,0.3,0.0001,62,22.61,16.26,15
air,3763429610,32.503,32.5,10.41,5.7,98.3,50.0,2.109,1.825,0.4,0.0001,62,22.58,16.29,20
air,3763429615,32.503,32.5,10.42,5.7,100.0,50.0,2.108,1.8,0.4,0.0001,62,22.58,16.36,25
air,3763429620,32.491,32.5,10.41,5.7,100.0,50.0,2.108,1.8,0.3,0.0001,59,22.57,16.39,30
air,3763429625,32.492,32.5,10.42,5.7,100.0,50.0,2.108,1.803,24.5,0.0001,59,22.56,16.41,35
air,3763429630,32.496,32.5,10.41,5.7,100.0,50.0,2.107,1.802,190.5,0.0001,61,22.54,16.45,40
air,3763429635,32.493,32.5,10.43,5.7,100.0,50.0,2.108,1.802,190.6,0.0001,60,22.54,16.48,45
air,3763429640,32.492,32.5,10.4,5.7,100.0,50.0,2.107,1.802,332.3,0.0001,59,22.53,16.5,50
air,3763429645,32.487,32.5,10.44,5.7,100.0,50.0,2.108,1.803,369.7,0.0001,57,22.54,16.52,55
air,3763429650,32.489,32.5,10.43,5.7,100.0,50.0,2.108,1.803,369.6,0.0001,58,22.54,16.52,60
air,3763429655,32.503,32.5,10.43,5.7,100.0,50.0,2.108,1.803,369.7,0.0001,58,22.54,16.55,65
air,3763429660,32.512,32.5,10.41,5.7,100.0,50.0,2.108,1.803,369.7,0.0001,58,22.53,16.54,70
air,3763429665,32.512,32.5,10.41,5.7,100.0,50.0,2.108,1.803,369.7,0.0001,58,22.53,16.54,75
air,3763429670,32.505,32.5,10.44,5.7,100.0,85.8,2.108,1.803,368.3,0.0001,58,22.52,16.54,80
air,3763429675,32.502,32.5,10.42,5.7,100.0,85.8,2.109,1.803,365.0,0.0001,58,22.51,16.56,85
air,3763429680,32.504,32.5,10.45,5.7,100.0,75.8,2.109,1.804,365.5,0.0001,58,22.52,16.56,90
air,3763429685,32.526,32.5,10.45,5.7,100.0,75.8,2.108,1.803,366.3,0.0001,58,22.52,16.57,95
air,3763429690,32.529,32.5,10.44,5.7,100.0,78.7,2.108,1.803,366.0,0.0001,58,22.51,16.6,100
air,3763429695,32.531,32.5,10.44,5.7,100.0,77.5,2.107,1.803,366.1,0.0001,58,22.5,16.58,105
air,3763429700,32.539,32.5,10.43,5.7,100.0,78.8,2.108,1.802,366.0,0.0001,58,22.49,16.61,110
air,3763429705,32.533,32.5,10.42,5.7,100.0,78.8,2.109,1.803,366.0,0.0001,76,22.48,16.64,115
air,3763429710,32.53,32.5,10.43,5.7,100.0,78.8,2.109,1.802,362.0,0.0001,75,22.49,16.66,120
air,3763429715,32.53,32.5,10.43,5.7,100.0,78.8,2.109,1.802,362.0,0.0001,75,22.49,16.66,125
air,3763429720,32.518,32.5,10.46,5.7,100.0,52.0,2.107,1.802,353.5,0.0001,70,22.49,16.66,130
air,3763429725,32.493,32.5,10.46,5.7,100.0,50.0,2.108,1.803,338.0,0.0001,61,22.52,16.68,135
air,3763429730,32.498,32.5,10.47,5.7,100.0,50.0,2.108,1.802,338.3,0.0001,62,22.53,16.69,140
air,3763429735,32.509,32.5,10.48,5.7,100.0,50.0,2.108,1.802,338.1,2.79,66,22.54,16.75,145
air,3763429740,32.504,32.5,10.47,5.7,100.0,50.0,2.108,1.803,338.3,0.367,64,22.54,16.81,150
air,3763429745,32.505,32.5,10.47,5.7,100.0,50.0,2.109,1.803,338.2,0.122,65,22.55,16.78,155
air,3763429750,32.504,32.5,10.46,5.7,100.0,50.0,2.108,1.803,338.1,2.7,65,22.56,16.73,160
air,3763429755,32.496,32.5,10.48,5.7,100.0,50.0,2.108,1.803,338.1,0.488,61,22.57,16.72,165
