SampleName,Time(abs),Temperature(room),Humidity(room)
Continuum,3730006070,25.502,12.742
Continuum,3730006075,25.523,12.764
Continuum,3730006080,25.491,12.772
Continuum,3730006085,25.491,12.757
Continuum,3730006090,25.512,12.749
Continuum,3730006095,25.534,12.726
Continuum,3730006100,25.523,12.726
Continuum,3730006105,25.534,12.726
Continuum,3730006110,25.512,12.772
Continuum,3730006115,25.523,12.78
Continuum,3730006120,25.534,12.795
Continuum,3730006125,25.512,12.78
Continuum,3730006130,25.523,12.764
Continuum,3730006135,25.512,12.726
Continuum,3730006140,25.544,12.719
Continuum,3730006145,25.534,12.719
Continuum,3730006150,25.544,12.719
Continuum,3730006155,25.544,12.688
Continuum,3730006160,25.534,12.719
Continuum,3730006165,25.534,12.749
Continuum,3730006170,25.544,12.78
Continuum,3730006175,25.534,12.78
Continuum,3730006180,25.544,12.772
Continuum,3730006185,25.534,12.772
Continuum,3730006190,25.544,12.757
Continuum,3730006195,25.523,12.742
Continuum,3730006200,25.544,12.711
Continuum,3730006205,25.544,12.749
Continuum,3730006210,25.544,12.757
Continuum,3730006215,25.577,12.795
Continuum,3730006220,25.566,12.803
Continuum,3730006225,25.587,12.795
Continuum,3730006230,25.577,12.795
Continuum,3730006235,25.577,12.772
Continuum,3730006240,25.566,12.772
Continuum,3730006245,25.566,12.78
Continuum,3730006250,25.555,12.826
Continuum,3730006255,25.566,12.871
Continuum,3730006260,25.577,12.887
Continuum,3730006265,25.566,12.894
Continuum,3730006270,25.577,12.917
Continuum,3730006275,25.566,12.932
Continuum,3730006280,25.566,12.925
Continuum,3730006285,25.555,12.894
Continuum,3730006290,25.544,12.871
Continuum,3730006295,25.566,12.848
Continuum,3730006300,25.555,12.818
Continuum,3730006305,25.577,12.803
Continuum,3730006310,25.587,12.772
Continuum,3730006315,25.587,12.749
Continuum,3730006320,25.566,12.726
Continuum,3730006325,25.587,12.726
Continuum,3730006330,25.587,12.734
Continuum,3730006335,25.577,12.749
Continuum,3730006340,25.577,12.734
Continuum,3730006345,25.566,12.742
Continuum,3730006350,25.566,12.719
Continuum,3730006355,25.577,12.719
Continuum,3730006360,25.566,12.734
Continuum,3730006365,25.587,12.772
Continuum,3730006370,25.587,12.795
Continuum,3730006375,25.598,12.787
Continuum,3730006380,25.598,12.787
Continuum,3730006385,25.566,12.787
Continuum,3730006390,25.598,12.81
Continuum,3730006395,25.566,12.81
Continuum,3730006400,25.587,12.795
Continuum,3730006405,25.587,12.795
Continuum,3730006410,25.598,12.81
Continuum,3730006415,25.598,12.795
Continuum,3730006420,25.587,12.78
Continuum,3730006425,25.587,12.772
Continuum,3730006430,25.566,12.764
Continuum,3730006435,25.566,12.749
Continuum,3730006440,25.566,12.734
Continuum,3730006445,25.566,12.78
Continuum,3730006450,25.566,12.818
Continuum,3730006455,25.577,12.833
Continuum,3730006460,25.566,12.833
Continuum,3730006465,25.566,12.818
Continuum,3730006470,25.555,12.803
Continuum,3730006475,25.555,12.78
Continuum,3730006480,25.555,12.78
Continuum,3730006485,25.544,12.742
Continuum,3730006490,25.544,12.726
Continuum,3730006495,25.544,12.719
Continuum,3730006500,25.555,12.703
Continuum,3730006505,25.534,12.696
Continuum,3730006510,25.534,12.696
Continuum,3730006515,25.544,12.681
Continuum,3730006520,25.555,12.696
Continuum,3730006525,25.544,12.719
Continuum,3730006530,25.534,12.749
Continuum,3730006535,25.566,12.757
Continuum,3730006540,25.577,12.757
Continuum,3730006545,25.534,12.749
Continuum,3730006550,25.544,12.734
Continuum,3730006555,25.566,12.742
Continuum,3730006560,25.544,12.749
Continuum,3730006565,25.544,12.757
Continuum,3730006570,25.555,12.78
Continuum,3730006575,25.566,12.772
Continuum,3730006580,25.566,12.78
Continuum,3730006585,25.587,12.787
Continuum,3730006590,25.577,12.772
Continuum,3730006595,25.598,12.757
Continuum,3730006600,25.598,12.749
Continuum,3730006605,25.587,12.764
Continuum,3730006610,25.598,12.757
Continuum,3730006615,25.587,12.749
Continuum,3730006620,25.577,12.734
Continuum,3730006625,25.587,12.734
Continuum,3730006630,25.587,12.719
Continuum,3730006635,25.587,12.734
Continuum,3730006640,25.587,12.734
Continuum,3730006645,25.609,12.726
Continuum,3730006650,25.619,12.726
Continuum,3730006655,25.609,12.726
Continuum,3730006660,25.609,12.734
Continuum,3730006665,25.619,12.726
Continuum,3730006670,25.63,12.711
Continuum,3730006675,25.619,12.696
Continuum,3730006680,25.609,12.696
Continuum,3730006685,25.609,12.673
Continuum,3730006690,25.598,12.681
Continuum,3730006695,25.587,12.696
Continuum,3730006700,25.598,12.734
Continuum,3730006705,25.598,12.78
Continuum,3730006710,25.598,12.81
Continuum,3730006715,25.598,12.848
Continuum,3730006720,25.609,12.833
Continuum,3730006725,25.63,12.833
Continuum,3730006730,25.619,12.81
Continuum,3730006735,25.619,12.795
Continuum,3730006740,25.619,12.78
Continuum,3730006745,25.619,12.772
Continuum,3730006750,25.63,12.772
Continuum,3730006755,25.641,12.764
Continuum,3730006760,25.63,12.742
Continuum,3730006765,25.598,12.719
Continuum,3730006770,25.609,12.711
Continuum,3730006775,25.609,12.711
Continuum,3730006780,25.619,12.688
Continuum,3730006785,25.619,12.703
Continuum,3730006790,25.641,12.703
Continuum,3730006795,25.63,12.711
Continuum,3730006800,25.652,12.665
Continuum,3730006805,25.641,12.658
Continuum,3730006810,25.619,12.65
Continuum,3730006815,25.619,12.665
Continuum,3730006820,25.619,12.696
Continuum,3730006825,25.652,12.742
Continuum,3730006830,25.619,12.78
Continuum,3730006835,25.641,12.795
Continuum,3730006840,25.63,12.78
Continuum,3730006845,25.63,12.749
Continuum,3730006850,25.641,12.734
Continuum,3730006855,25.652,12.696
Continuum,3730006860,25.641,12.696
Continuum,3730006865,25.63,12.673
Continuum,3730006870,25.619,12.665
Continuum,3730006875,25.641,12.658
Continuum,3730006880,25.641,12.65
Continuum,3730006885,25.652,12.642
Continuum,3730006890,25.652,12.612
Continuum,3730006895,25.652,12.62
Continuum,3730006900,25.63,12.604
Continuum,3730006905,25.598,12.581
Continuum,3730006910,25.619,12.589
Continuum,3730006915,25.598,12.612
Continuum,3730006920,25.598,12.604
Continuum,3730006925,25.609,12.635
Continuum,3730006930,25.619,12.62
Continuum,3730006935,25.63,12.62
Continuum,3730006940,25.63,12.62
