DateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,Dp17O,Dp17OError
2023-01-18 08:49:02,heavy,420.1,419.9,41.871,41.869,39.692,76.852,-169.6,5.0
2023-02-16 13:55:37,heavy,418.4,417.9,42.264,42.262,39.695,76.829,-155.9,5.5
2023-02-17 11:28:55,heavy,418.8,418.6,42.279,42.277,39.707,76.838,-148.4,7.6
2023-02-17 16:48:57,heavy,418.7,418.3,42.294,42.292,39.694,76.869,-176.2,3.7
2023-02-19 15:02:18,heavy,418.1,418.0,42.288,42.286,39.67,76.789,-159.4,2.9
2023-02-19 20:22:30,heavy,417.7,417.4,42.36,42.36,39.69,76.824,-157.5,5.6
2023-02-20 01:42:24,heavy,417.7,417.4,42.345,42.342,39.695,76.819,-150.1,2.6
2023-02-20 07:02:37,heavy,417.8,417.4,42.322,42.319,39.706,76.842,-151.1,5.9
2023-02-20 23:50:16,heavy,418.5,417.8,42.259,42.256,39.717,76.873,-156.0,3.2
2023-02-21 05:12:06,heavy,418.0,417.5,42.347,42.346,39.711,76.862,-156.7,5.1
2023-02-22 08:58:01,heavy,418.9,418.6,42.331,42.329,39.696,76.853,-166.5,5.5
2023-02-23 10:11:07,heavy,419.5,419.0,42.319,42.319,39.69,76.827,-159.4,7.0
2023-02-25 22:48:59,heavy,417.0,416.9,42.173,42.171,39.695,76.849,-165.4,5.4
2023-02-26 09:28:36,heavy,416.1,415.6,42.276,42.273,39.688,76.794,-145.2,5.2
2023-02-26 14:49:18,heavy,415.9,415.8,42.273,42.27,39.673,76.786,-156.0,4.9
2023-02-26 21:42:27,heavy,415.8,415.5,42.298,42.294,39.687,76.847,-172.0,3.6
2023-02-27 03:03:02,heavy,415.6,415.3,42.338,42.337,39.7,76.843,-157.9,3.4
2023-02-27 21:13:16,heavy,415.4,415.3,42.343,42.338,39.695,76.829,-155.5,4.3
2023-02-28 02:34:24,heavy,415.7,415.3,42.421,42.419,39.694,76.816,-150.1,4.6
2023-03-02 23:05:46,heavy,419.7,419.4,42.254,42.251,39.698,76.846,-161.0,8.2
2023-03-03 04:23:03,heavy,419.2,419.1,42.305,42.302,39.698,76.867,-171.5,3.9
2023-03-03 18:46:23,heavy,419.5,418.5,42.233,42.232,39.695,76.834,-158.1,9.7
2023-02-15 14:05:18,heavy,418.3,418.0,42.285,42.282,39.704,76.851,-157.1,6.1
2023-02-15 09:50:28,heavy,417.8,417.3,42.32,42.318,39.723,76.87,-149.0,9.1
2023-02-21 10:32:02,heavy,417.7,417.4,42.367,42.364,39.707,76.881,-169.2,6.2
2023-02-13 23:53:32,heavy,417.4,417.1,42.369,42.368,39.695,76.833,-156.7,9.4
2023-02-14 12:31:50,heavy,417.5,417.5,42.329,42.325,39.696,76.851,-165.1,8.7
2023-01-21 14:59:20,heavy,415.5,415.1,42.393,42.389,39.708,76.895,-175.6,1.4
