DateTimeMeasured,SampleName,pCO2Ref,pCO2Sam,PCellRef,PCellSam,d17O,d18O,Dp17O,Dp17OError,mrMismatch
2023-04-01 21:36:11,air,426.5,426.2,42.035,42.036,19.818,38.304,-222.5,4.6,0.3
2023-04-02 00:14:39,air,426.2,425.6,41.923,41.925,19.889,38.435,-219.8,3.8,0.6
2023-04-02 03:09:11,air,423.9,424.3,42.008,42.008,19.981,38.607,-216.8,5.4,-0.4
2023-04-02 05:44:52,air,425.3,424.4,41.924,41.924,20.068,38.789,-224.1,5.5,0.9
2023-04-02 08:42:10,air,422.1,422.1,41.983,41.983,20.176,38.981,-215.3,4.2,0.0
2023-04-02 11:21:47,air,421.6,420.4,41.905,41.907,20.243,39.131,-226.5,7.8,1.2
2023-04-02 14:20:27,air,419.1,418.8,41.99,41.99,20.34,39.281,-207.5,13.8,0.3
2023-04-02 17:01:07,air,419.7,417.9,41.902,41.903,20.421,39.425,-201.5,4.0,1.8
2023-04-02 20:11:10,air,418.2,417.7,41.965,41.965,20.492,39.547,-193.8,6.3,0.5
2023-04-02 22:53:17,air,421.5,419.8,41.879,41.88,20.525,39.68,-229.0,5.1,1.7
2023-04-03 01:52:58,air,421.3,421.3,41.999,41.998,20.594,39.778,-210.5,4.4,0.0
2023-04-03 04:35:01,air,425.0,424.3,41.879,41.88,20.643,39.863,-206.5,6.8,0.7
