SampleName,Time(abs),Temperature(room),TargetT(box),Humidity(room),percentageX,percentageY,percentageZ,pressureX,pressureY,pressureA,edwards,fanSpeed
lightVsRef,3744992795,31.486,31.5,21.592,67.30,84.40,50.0,1.879,1.885,6.6,1.26E-03,12
lightVsRef,3744992800,31.49,31.5,21.592,67.30,84.40,50.0,1.880,1.886,6.5,1.26E-03,13
lightVsRef,3744992810,31.488,31.5,21.599,67.30,84.40,50.0,1.880,1.886,6.6,1.26E-03,13
lightVsRef,3744992815,31.486,31.5,21.599,67.30,84.40,50.0,1.752,1.886,6.5,1.26E-03,12
lightVsRef,3744992820,31.489,31.5,21.584,67.30,84.40,50.0,1.751,1.886,6.6,1.26E-03,14
lightVsRef,3744992825,31.492,31.5,21.584,67.30,84.40,50.0,1.752,1.886,6.6,1.26E-03,14
lightVsRef,3744992830,31.495,31.5,21.607,67.38,84.40,50.0,1.750,1.885,6.6,1.27E-03,14
lightVsRef,3744992835,31.497,31.5,21.584,67.46,84.40,50.0,1.749,1.883,6.6,1.27E-03,14
lightVsRef,3744992840,31.498,31.5,21.584,67.46,84.40,50.0,1.750,1.884,6.5,1.27E-03,17
lightVsRef,3744992845,31.5,31.5,21.584,67.46,84.40,50.0,1.751,1.887,6.5,1.27E-03,18
lightVsRef,3744992850,31.499,31.5,21.592,67.46,84.40,50.0,1.753,1.887,238.2,1.27E-03,18
lightVsRef,3744992855,31.5,31.5,21.584,67.46,84.40,50.0,1.753,1.886,302.9,1.27E-03,18
lightVsRef,3744992860,31.503,31.5,21.569,67.46,84.40,50.0,1.751,1.884,302.9,1.27E-03,19
lightVsRef,3744992865,31.496,31.5,21.576,67.46,84.40,50.0,1.752,1.886,303.2,1.28E-03,16
lightVsRef,3744992870,31.489,31.5,21.592,67.46,84.40,52.0,1.750,1.885,282.7,1.27E-03,13
lightVsRef,3744992875,31.484,31.5,21.599,67.46,84.40,50.0,1.753,1.886,276.4,1.27E-03,11
lightVsRef,3744992880,31.496,31.5,21.584,67.46,84.40,50.0,1.752,1.886,276.5,2.54E+00,16
lightVsRef,3744992885,31.495,31.5,21.592,67.46,84.40,50.0,1.753,1.887,276.2,1.24E+00,16
lightVsRef,3744992890,31.495,31.5,21.584,67.46,84.40,50.0,1.751,1.886,276.4,7.40E-01,16
lightVsRef,3744992895,31.5,31.5,21.569,67.46,84.40,50.0,1.752,1.885,276.4,4.24E+00,18
lightVsRef,3744992900,31.499,31.5,21.584,67.46,84.40,50.0,1.750,1.886,276.2,1.65E+00,17
lightVsRef,3744992905,31.495,31.5,21.569,67.46,84.40,50.0,1.752,1.886,276.3,9.56E-01,16
lightVsRef,3744992910,31.495,31.5,21.584,67.46,84.40,50.0,1.752,1.886,276.1,6.42E-01,16
lightVsRef,3744992915,31.496,31.5,21.584,67.46,84.40,50.0,1.751,1.886,276.3,4.59E-02,16
lightVsRef,3744992920,31.494,31.5,21.584,67.46,84.40,50.0,1.751,1.886,276.2,1.62E-02,15
lightVsRef,3744992925,31.497,31.5,21.584,67.46,84.40,50.0,1.754,1.886,276.4,7.48E-03,16
lightVsRef,3744992930,31.495,31.5,21.569,67.46,84.40,50.0,1.752,1.885,276.3,3.92E-03,16
lightVsRef,3744992935,31.497,31.5,21.569,67.46,84.40,50.0,1.753,1.886,276.4,2.48E-03,16
lightVsRef,3744992940,31.5,31.5,21.584,67.46,84.40,50.0,1.751,1.885,48.9,1.65E-03,18
lightVsRef,3744992945,31.5,31.5,21.561,67.46,84.40,50.0,1.753,1.886,48.8,1.26E-03,17
lightVsRef,3744992950,31.5,31.5,21.569,67.46,84.40,50.0,1.750,1.886,48.6,1.17E-03,18
lightVsRef,3744992955,31.497,31.5,21.576,67.46,84.40,50.0,1.753,1.886,48.7,1.13E-03,16
lightVsRef,3744992960,31.498,31.5,21.569,67.46,84.40,50.0,1.751,1.884,48.6,1.12E-03,17
lightVsRef,3744992965,31.498,31.5,21.576,67.46,84.40,50.0,1.756,1.889,48.8,1.13E-03,17
lightVsRef,3744992970,31.5,31.5,21.569,67.46,84.40,50.0,1.753,1.886,48.6,1.13E-03,18
lightVsRef,3744992975,31.498,31.5,21.576,67.46,84.40,50.0,1.752,1.887,48.7,1.13E-03,17
lightVsRef,3744992980,31.5,31.5,21.576,67.46,84.40,50.0,1.751,1.886,48.7,1.13E-03,18
lightVsRef,3744992985,31.501,31.5,21.569,67.46,84.40,50.0,1.753,1.886,48.7,1.14E-03,18
lightVsRef,3744992990,31.502,31.5,21.576,67.46,84.40,50.0,1.754,1.886,48.6,1.14E-03,19
lightVsRef,3744992995,31.506,31.5,21.576,67.46,84.40,50.0,1.756,1.889,48.9,1.15E-03,20
lightVsRef,3744993000,31.501,31.5,21.569,67.46,84.40,50.0,1.751,1.887,48.8,1.15E-03,18
lightVsRef,3744993005,31.501,31.5,21.561,67.46,84.40,50.0,1.753,1.886,48.7,1.16E-03,18
lightVsRef,3744993010,31.496,31.5,21.561,67.46,84.40,50.0,1.752,1.886,48.7,1.17E-03,16
lightVsRef,3744993015,31.494,31.5,21.561,67.46,84.40,50.0,1.752,1.886,48.7,1.17E-03,15
lightVsRef,3744993020,31.49,31.5,21.569,67.46,84.40,50.0,1.752,1.887,48.7,1.18E-03,14
lightVsRef,3744993025,31.489,31.5,21.561,67.46,84.40,50.0,1.752,1.887,48.6,1.18E-03,13
lightVsRef,3744993030,31.486,31.5,21.576,67.46,84.40,50.0,1.753,1.888,48.8,1.19E-03,12
lightVsRef,3744993035,31.49,31.5,21.584,67.46,84.40,50.0,1.754,1.887,25.3,8.77E-01,14
lightVsRef,3744993040,31.485,31.5,21.599,67.46,84.40,52.0,1.751,1.887,7.7,7.60E-01,11
lightVsRef,3744993045,31.486,31.5,21.592,67.46,84.40,50.0,1.752,1.886,11.9,1.73E+00,12
lightVsRef,3744993050,31.492,31.5,21.584,67.46,84.40,50.0,1.752,1.885,7.7,1.31E+00,14
lightVsRef,3744993055,31.493,31.5,21.576,67.46,84.40,50.0,1.753,1.886,7.3,7.99E-01,15
lightVsRef,3744993060,31.496,31.5,21.576,67.46,84.40,50.0,1.752,1.885,7.1,5.30E-01,16
lightVsRef,3744993065,31.494,31.5,21.576,67.46,84.40,50.0,1.754,1.886,6.8,3.93E-01,15
lightVsRef,3744993070,31.495,31.5,21.592,67.46,84.40,50.0,1.754,1.886,6.9,3.93E-01,16
lightVsRef,3744993075,31.481,31.5,21.576,60.00,84.40,50.0,1.864,1.887,6.8,2.46E-01,10
lightVsRef,3744993080,31.493,31.5,21.576,60.00,84.40,50.0,1.886,1.885,6.7,2.65E-02,14
lightVsRef,3744993085,31.496,31.5,21.569,60.00,84.40,50.0,1.888,1.885,6.5,9.71E-03,16
lightVsRef,3744993090,31.497,31.5,21.569,60.00,84.40,50.0,1.888,1.884,6.6,5.51E-03,16
lightVsRef,3744993095,31.502,31.5,21.576,60.00,84.40,50.0,1.888,1.886,6.5,3.61E-03,18
lightVsRef,3744993100,31.503,31.5,21.561,60.00,84.40,50.0,1.887,1.886,6.5,2.56E-03,19
lightVsRef,3744993105,31.508,31.5,21.569,60.00,84.40,50.0,1.886,1.886,6.7,2.00E-03,21
