sampleName,Time(abs),boxTemperature,boxSetpoint,boxHumidity,percentageX,percentageY,percentageZ,pressureX,pressureY,pressureA,vacuum,fanSpeed,roomTemperature,roomHumidity,Time(rel)
air_test,3762366545,32.025,32,18.0,97.59,94.02,50.0,1.854,1.91,0.7,0.0001,100,23.91,26.73,-10
air_test,3762366550,32.014,32,18.02,97.59,94.02,50.0,1.854,1.909,0.7,0.0001,96,23.92,26.72,-5
air_test,3762366555,31.965,32,18.05,97.59,94.02,50.0,1.854,1.91,0.7,0.0001,77,23.92,26.71,0
air_test,3762366560,31.94,32,18.07,97.59,94.02,50.0,1.854,1.91,0.7,0.0001,67,23.91,26.71,5
air_test,3762366565,31.914,32,18.12,97.59,94.02,50.0,1.779,1.911,0.7,0.0001,56,23.91,26.73,10
air_test,3762366570,31.917,32,18.1,97.59,94.02,50.0,1.747,1.91,0.7,0.0001,57,23.91,26.72,15
air_test,3762366575,31.939,32,18.1,97.59,94.02,50.0,1.748,1.91,0.8,0.0001,59,23.92,26.71,20
air_test,3762366580,31.948,32,18.11,97.59,94.02,50.0,1.748,1.91,0.7,0.0001,59,23.91,26.73,25
air_test,3762366585,31.981,32,18.08,90.27,94.02,50.0,1.832,1.909,0.7,0.0001,59,23.89,26.74,30
air_test,3762366590,32.022,32,18.02,90.58,94.02,50.0,1.847,1.911,0.7,0.0001,59,23.88,26.75,35
air_test,3762366595,32.044,32,18.0,90.58,94.02,50.0,1.846,1.91,0.7,0.0001,100,23.89,26.75,40
air_test,3762366600,32.068,32,17.98,90.58,94.02,50.0,1.846,1.91,0.7,0.0001,100,23.88,26.75,45
air_test,3762366605,32.033,32,18.01,90.58,94.02,50.0,1.849,1.91,148.2,0.0001,100,23.89,26.79,50
air_test,3762366610,31.997,32,18.02,90.58,94.02,50.0,1.848,1.91,188.2,0.0001,90,23.9,26.76,55
air_test,3762366615,31.97,32,18.07,90.58,94.02,50.0,1.849,1.91,218.6,0.0001,79,23.9,26.76,60
air_test,3762366620,31.952,32,18.07,90.58,94.02,50.0,1.849,1.91,364.7,0.0001,72,23.9,26.76,65
air_test,3762366625,31.93,32,18.09,90.58,94.02,50.0,1.849,1.911,365.0,0.0001,63,23.91,26.78,70
air_test,3762366630,31.93,32,18.11,90.58,94.02,50.0,1.848,1.91,364.9,0.0001,62,23.9,26.77,75
air_test,3762366635,31.961,32,18.09,90.58,94.02,50.0,1.849,1.911,365.0,0.0001,62,23.89,26.79,80
air_test,3762366640,31.979,32,18.06,90.58,94.02,40.7,1.848,1.909,365.5,0.0001,62,23.88,26.8,85
air_test,3762366645,32.008,32,18.02,90.58,94.02,42.4,1.85,1.91,366.1,0.0001,62,23.88,26.81,90
air_test,3762366650,32.048,32,18.03,90.58,94.02,42.4,1.849,1.91,366.0,0.0001,62,23.89,26.81,95
air_test,3762366655,32.086,32,17.95,90.58,94.02,42.4,1.848,1.911,367.8,0.0001,100,23.87,26.81,100
air_test,3762366660,32.094,32,17.98,90.58,94.02,42.4,1.849,1.911,362.5,0.0001,100,23.87,26.82,105
air_test,3762366665,32.067,32,18.01,90.58,94.02,50.0,1.847,1.91,347.4,0.0001,100,23.87,26.82,110
air_test,3762366670,32.005,32,18.03,90.58,94.02,50.0,1.849,1.911,339.5,0.0001,94,23.88,26.82,115
air_test,3762366675,31.967,32,18.07,90.58,94.02,50.0,1.849,1.91,339.5,1.1,79,23.89,26.81,120
air_test,3762366680,31.946,32,18.11,90.58,94.02,50.0,1.848,1.911,339.5,0.335,70,23.9,26.8,125
air_test,3762366685,31.892,32,18.15,90.58,94.02,50.0,1.849,1.911,339.5,0.103,49,23.9,26.8,130
air_test,3762366690,31.893,32,18.17,90.58,94.02,50.0,1.849,1.911,339.4,3.08,49,23.9,26.79,135
air_test,3762366695,31.901,32,18.15,90.58,94.02,50.0,1.849,1.911,339.5,0.357,52,23.91,26.79,140
air_test,3762366700,31.922,32,18.11,90.58,94.02,50.0,1.849,1.91,339.4,0.182,60,23.9,26.79,145
air_test,3762366705,31.957,32,18.1,90.58,94.02,50.0,1.848,1.91,339.5,0.0625,73,23.89,26.79,150
air_test,3762366710,31.996,32,18.06,90.58,94.02,50.0,1.848,1.91,339.5,0.0148,89,23.89,26.79,155
air_test,3762366715,32.014,32,18.03,90.58,94.02,50.0,1.849,1.91,339.5,0.0048,96,23.89,26.8,160
air_test,3762366720,32.011,32,18.07,90.58,94.02,50.0,1.849,1.91,339.5,0.0014,95,23.91,26.79,165
air_test,3762366725,31.996,32,18.04,90.58,94.02,50.0,1.849,1.91,339.5,0.0009,89,23.92,26.77,170
air_test,3762366730,31.967,32,18.06,90.58,94.02,50.0,1.849,1.911,339.5,0.0002,78,23.93,26.76,175
air_test,3762366735,31.96,32,18.11,90.58,94.02,50.0,1.849,1.911,339.6,0.0001,75,23.94,26.74,180
air_test,3762366740,31.952,32,18.13,90.58,94.02,50.0,1.849,1.91,339.5,0.0001,72,23.95,26.75,185
air_test,3762366745,31.944,32,18.12,90.58,94.02,50.0,1.848,1.911,57.3,0.0001,68,23.96,26.72,190
air_test,3762366750,31.974,32,18.09,90.58,94.02,50.0,1.848,1.91,56.8,0.0001,80,23.96,26.72,195
